"NetID","fireside-chat","lalala","gg","bap-e-board-elections-participation"
"eh1885",TRUE,FALSE,TRUE,TRUE
"jyw289",FALSE,FALSE,FALSE,TRUE
"djq211",TRUE,FALSE,TRUE,TRUE
"aaaaaaa",FALSE,FALSE,FALSE,FALSE
"mcc720",FALSE,FALSE,FALSE,TRUE
"ks3674",FALSE,FALSE,FALSE,TRUE
"shy309",FALSE,FALSE,FALSE,TRUE
"yb787",FALSE,FALSE,FALSE,TRUE
"njd304",FALSE,FALSE,FALSE,TRUE
"jz2248",FALSE,FALSE,FALSE,TRUE
"jzx201",FALSE,FALSE,FALSE,TRUE
"tk1798",FALSE,FALSE,FALSE,TRUE
"alz267",FALSE,FALSE,FALSE,TRUE
"kly237",FALSE,FALSE,FALSE,TRUE
"xq286",FALSE,FALSE,FALSE,TRUE
"jz1646",FALSE,FALSE,FALSE,TRUE
"at3074",FALSE,FALSE,FALSE,TRUE
"up270",FALSE,FALSE,FALSE,TRUE
"ncb291",FALSE,FALSE,FALSE,TRUE
"sp4108",FALSE,FALSE,FALSE,TRUE
"bx320",FALSE,FALSE,FALSE,TRUE
"ard458",FALSE,FALSE,FALSE,TRUE
"vc1155",FALSE,FALSE,FALSE,TRUE
"rc3290",FALSE,FALSE,FALSE,TRUE
"bl1911",FALSE,FALSE,FALSE,TRUE
"jw4027",FALSE,FALSE,FALSE,TRUE
"alt420",FALSE,FALSE,FALSE,TRUE
"jy1844",FALSE,FALSE,FALSE,TRUE
"gky208",FALSE,FALSE,FALSE,TRUE
"js7650",FALSE,FALSE,FALSE,TRUE
"kh2345",FALSE,FALSE,FALSE,TRUE
"gys230",FALSE,FALSE,FALSE,TRUE
"jj1419",FALSE,FALSE,FALSE,TRUE
"sk5945",FALSE,FALSE,FALSE,TRUE
"ak5635",FALSE,FALSE,FALSE,TRUE
"nr1519",FALSE,FALSE,FALSE,TRUE
"vmc301",FALSE,FALSE,FALSE,TRUE
"pjh365",FALSE,FALSE,FALSE,TRUE
"sj1722",FALSE,FALSE,FALSE,TRUE
"jm6558",FALSE,FALSE,FALSE,TRUE
"wbz203",FALSE,FALSE,FALSE,TRUE
"pns272",FALSE,FALSE,FALSE,TRUE
"ss9390",FALSE,FALSE,FALSE,TRUE
"apm457",FALSE,FALSE,FALSE,TRUE
"nsc301",FALSE,FALSE,FALSE,TRUE
"tas475",FALSE,FALSE,FALSE,TRUE
"cml570",FALSE,FALSE,FALSE,TRUE
"rh2386",FALSE,FALSE,FALSE,TRUE
"sh3616",FALSE,FALSE,FALSE,TRUE
"gam409",FALSE,FALSE,FALSE,TRUE
"csl454",FALSE,FALSE,FALSE,TRUE
"rt1554",FALSE,FALSE,FALSE,TRUE
"ayy232",FALSE,FALSE,FALSE,TRUE
"dgl266",FALSE,FALSE,FALSE,TRUE
"avs373",FALSE,FALSE,FALSE,TRUE
"tg1125",FALSE,FALSE,FALSE,TRUE
"jpl456",FALSE,FALSE,FALSE,TRUE
"pyl287",FALSE,FALSE,FALSE,TRUE
"yp840",FALSE,FALSE,FALSE,TRUE
"blw314",FALSE,FALSE,FALSE,TRUE
"kc2259",FALSE,FALSE,FALSE,TRUE
"al3524",FALSE,FALSE,FALSE,TRUE
"mg4844",FALSE,FALSE,FALSE,TRUE
"jch577",FALSE,FALSE,FALSE,TRUE
"ap4501",FALSE,FALSE,FALSE,TRUE
"ap4063",FALSE,FALSE,FALSE,TRUE
"cc4802",FALSE,FALSE,FALSE,TRUE
"lz1573",FALSE,FALSE,FALSE,TRUE
"mb6013",FALSE,FALSE,FALSE,TRUE
"ki518",FALSE,FALSE,FALSE,TRUE
"zp355",FALSE,FALSE,FALSE,TRUE
"ng1449",FALSE,FALSE,FALSE,TRUE
"mz1395",FALSE,FALSE,FALSE,TRUE
"ad3649",FALSE,FALSE,FALSE,TRUE
"jwb417",FALSE,FALSE,FALSE,TRUE
"yml268",FALSE,FALSE,FALSE,TRUE
"lwc248",FALSE,FALSE,FALSE,TRUE
"ja2981",FALSE,FALSE,FALSE,TRUE
"am6457",FALSE,FALSE,FALSE,TRUE
"hw1141",FALSE,FALSE,FALSE,TRUE
"lkz209",FALSE,FALSE,FALSE,TRUE
"nss391",FALSE,FALSE,FALSE,TRUE
"dk2689",FALSE,FALSE,FALSE,TRUE
"mk4931",FALSE,FALSE,FALSE,TRUE
"kzy201",FALSE,FALSE,FALSE,TRUE
"ac5031",FALSE,FALSE,FALSE,TRUE
"kjk390",FALSE,FALSE,FALSE,TRUE
"as9584",FALSE,FALSE,FALSE,TRUE
"yw1870",FALSE,FALSE,FALSE,TRUE
"yl2591",FALSE,FALSE,FALSE,TRUE
"mx356",FALSE,FALSE,FALSE,TRUE
"as9246",FALSE,FALSE,FALSE,TRUE
